Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Carolina,Decedent's home,447,36337,658,103,23,1023,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Carolina,Hospice facility,336,13146,799,185,17,967,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Carolina,Nursing home/long term care facility,2089,17652,1171,413,19,2866,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Carolina,Other,115,6765,94,23,,193,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Carolina,Place of death unknown,10,120,,,0,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,Total - All Places of Death,4635,19489,3083,2526,,5194,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,"Healthcare setting, inpatient",2930,5876,2307,2014,,3225,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,"Healthcare setting, outpatient or emergency room",109,880,61,38,0,132,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,"Healthcare setting, dead on arrival",,164,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,Decedent's home,382,6295,218,131,0,469,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,Hospice facility,266,2210,230,145,0,351,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,Nursing home/long term care facility,877,2570,228,173,0,932,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,Other,65,1494,34,23,0,76,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Carolina,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,Total - All Places of Death,1513,8839,1276,759,32,2061,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,"Healthcare setting, inpatient",837,3457,945,586,26,1221,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,"Healthcare setting, outpatient or emergency room",16,358,14,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,"Healthcare setting, dead on arrival",,28,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,Decedent's home,65,1888,47,15,,98,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,Hospice facility,,49,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,Nursing home/long term care facility,586,2747,261,148,,703,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,Other,,310,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,North Dakota,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,Total - All Places of Death,227,3068,313,128,,413,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,"Healthcare setting, inpatient",161,1225,250,113,,299,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,"Healthcare setting, outpatient or emergency room",,129,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,"Healthcare setting, dead on arrival",0,11,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,Decedent's home,11,713,16,,0,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,Hospice facility,0,24,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,Nursing home/long term care facility,48,853,39,12,0,75,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,Other,,113,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,North Dakota,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,Total - All Places of Death,15097,143944,12777,6687,319,21504,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,"Healthcare setting, inpatient",7715,37957,8171,4688,204,11401,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,"Healthcare setting, outpatient or emergency room",392,8806,348,121,11,630,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,"Healthcare setting, dead on arrival",17,369,24,11,0,30,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,Decedent's home,768,42157,871,247,42,1434,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,Hospice facility,722,12622,937,369,29,1319,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,Nursing home/long term care facility,5332,35681,2303,1214,32,6452,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,Other,142,6289,120,36,,227,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Ohio,Place of death unknown,,63,,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,Total - All Places of Death,7741,60464,6039,3799,11,9990,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,"Healthcare setting, inpatient",4306,17209,4133,2763,,5682,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,"Healthcare setting, outpatient or emergency room",222,3683,156,81,,298,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,"Healthcare setting, dead on arrival",15,174,12,,0,20,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,Decedent's home,675,18786,472,231,,917,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,Hospice facility,537,5612,479,264,0,752,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,Nursing home/long term care facility,1910,12263,743,433,,2221,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,Other,73,2713,44,20,0,97,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Ohio,Place of death unknown,,24,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,Total - All Places of Death,5246,46426,5126,2001,145,8504,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,"Healthcare setting, inpatient",3325,14159,3855,1672,113,5610,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,"Healthcare setting, outpatient or emergency room",267,3702,185,43,,418,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,"Healthcare setting, dead on arrival",,21,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,Decedent's home,384,16412,438,66,12,767,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,Hospice facility,65,1370,120,23,,168,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,Nursing home/long term care facility,1123,8040,464,181,,1408,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,Other,79,2722,60,14,,128,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oklahoma,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,Total - All Places of Death,3338,20419,2646,1517,14,4477,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,"Healthcare setting, inpatient",2242,6895,2054,1263,11,3041,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,"Healthcare setting, outpatient or emergency room",144,1432,84,38,0,190,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,"Healthcare setting, dead on arrival",,,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,Decedent's home,325,7308,219,72,,473,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,Hospice facility,59,592,57,23,0,93,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,Nursing home/long term care facility,515,3045,208,111,,613,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,Other,52,1140,23,,0,66,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oklahoma,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,Total - All Places of Death,1605,40228,2078,527,92,3247,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,"Healthcare setting, inpatient",792,9321,1319,378,60,1793,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,"Healthcare setting, outpatient or emergency room",40,1563,59,,,97,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,"Healthcare setting, dead on arrival",,14,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,Decedent's home,189,17318,295,40,14,458,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,Hospice facility,,902,23,,,27,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,Nursing home/long term care facility,531,7381,316,95,10,761,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,Other,46,3729,64,,,108,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Oregon,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,Total - All Places of Death,1075,17992,994,419,,1651,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,"Healthcare setting, inpatient",601,4422,686,302,0,985,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,"Healthcare setting, outpatient or emergency room",27,699,27,,0,46,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,"Healthcare setting, dead on arrival",0,0,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,Decedent's home,160,7844,128,42,,247,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,Hospice facility,,383,10,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,Nursing home/long term care facility,245,2950,117,54,,308,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,Other,35,1694,26,10,0,51,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Oregon,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,Total - All Places of Death,18407,156613,13644,6983,333,25390,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,"Healthcare setting, inpatient",9542,44690,9604,5451,228,13912,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,"Healthcare setting, outpatient or emergency room",351,6901,280,83,15,563,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,"Healthcare setting, dead on arrival",13,597,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,Decedent's home,860,48936,861,203,24,1542,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,Hospice facility,298,7450,444,134,21,629,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,Nursing home/long term care facility,7280,41276,2364,1093,44,8595,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,Other,60,6744,84,17,0,127,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Pennsylvania,Place of death unknown,,19,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,Total - All Places of Death,9986,69530,7138,4712,12,12420,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,"Healthcare setting, inpatient",6392,22303,5608,3979,,8026,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,"Healthcare setting, outpatient or emergency room",204,3118,119,56,0,267,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,"Healthcare setting, dead on arrival",,274,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,Decedent's home,744,22588,482,211,,1018,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,Hospice facility,191,3002,156,61,0,286,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,Nursing home/long term care facility,2365,15032,729,377,,2717,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,Other,81,3212,44,28,0,97,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Pennsylvania,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,Total - All Places of Death,1918,12160,1299,799,32,2450,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,"Healthcare setting, inpatient",724,2724,689,448,16,981,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,"Healthcare setting, outpatient or emergency room",54,953,38,17,0,75,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,"Healthcare setting, dead on arrival",,40,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,Decedent's home,74,3241,92,16,,152,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,Hospice facility,164,1548,148,107,,211,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,Nursing home/long term care facility,848,3308,290,186,,958,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,Other,,170,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Rhode Island,Place of death unknown,47,176,37,23,0,61,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,Total - All Places of Death,780,4982,499,354,,925,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,"Healthcare setting, inpatient",405,1298,319,245,,479,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,"Healthcare setting, outpatient or emergency room",16,386,11,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,"Healthcare setting, dead on arrival",,12,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,Decedent's home,44,1448,24,10,0,58,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,Hospice facility,86,660,54,36,0,104,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,Nursing home/long term care facility,214,1051,77,50,0,241,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,Other,,66,0,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Rhode Island,Place of death unknown,12,61,14,10,0,16,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,Total - All Places of Death,5692,60267,5494,2568,151,8762,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,"Healthcare setting, inpatient",3796,17690,4086,2125,107,5858,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,"Healthcare setting, outpatient or emergency room",197,3842,141,47,,292,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,"Healthcare setting, dead on arrival",0,28,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,Decedent's home,362,22578,422,81,18,721,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,Hospice facility,354,4688,341,134,12,572,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,Nursing home/long term care facility,935,7995,464,172,10,1237,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,Other,48,3446,40,,,82,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Carolina,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,Total - All Places of Death,3500,23525,2736,1809,,4432,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,"Healthcare setting, inpatient",2445,7689,2185,1527,,3108,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,"Healthcare setting, outpatient or emergency room",86,1323,47,16,0,117,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,Decedent's home,317,8618,177,74,0,420,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,Hospice facility,256,1953,180,114,,322,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,Nursing home/long term care facility,351,2513,129,68,0,412,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,Other,45,1416,18,10,0,53,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Carolina,Place of death unknown,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,Total - All Places of Death,1715,10126,1247,715,33,2278,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,"Healthcare setting, inpatient",862,2933,844,543,13,1174,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,"Healthcare setting, outpatient or emergency room",35,545,24,,0,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,"Healthcare setting, dead on arrival",0,11,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,Decedent's home,69,2217,66,20,,118,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,Hospice facility,54,1015,84,23,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,Nursing home/long term care facility,685,2944,215,114,,794,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,Other,10,461,14,,,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,Total - All Places of Death,368,3804,414,188,,594,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,"Healthcare setting, inpatient",230,1188,311,152,0,389,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,"Healthcare setting, outpatient or emergency room",17,217,11,,0,22,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,"Healthcare setting, dead on arrival",0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,Decedent's home,25,942,24,11,,38,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,Hospice facility,18,414,16,,0,28,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,Nursing home/long term care facility,74,892,47,12,0,109,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,Other,,145,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,South Dakota,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,Total - All Places of Death,7926,88401,9286,4057,239,13385,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,"Healthcare setting, inpatient",5518,29127,6908,3316,173,9277,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,"Healthcare setting, outpatient or emergency room",317,7368,377,104,14,602,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,"Healthcare setting, dead on arrival",45,1791,46,16,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,Decedent's home,431,28474,639,120,17,966,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,Hospice facility,138,3050,204,71,13,284,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,Nursing home/long term care facility,1395,13939,1030,409,18,2034,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,Other,82,4652,82,21,,145,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Tennessee,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,Total - All Places of Death,5325,40633,4808,2823,26,7330,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,"Healthcare setting, inpatient",3774,14247,3797,2355,21,5231,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,"Healthcare setting, outpatient or emergency room",176,3370,114,57,,236,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,"Healthcare setting, dead on arrival",24,769,11,,0,31,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,Decedent's home,433,13189,333,141,0,625,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,Hospice facility,138,1565,116,51,0,203,
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,Nursing home/long term care facility,730,5279,404,204,,931,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,Other,50,2214,33,11,,73,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
06/23/2021,01/01/2021,06/19/2021,By Year,2021,,Tennessee,Place of death unknown,0,0,0,0,0,0,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Texas,Total - All Places of Death,33508,253672,31682,18033,578,47698,
06/23/2021,01/01/2020,12/31/2020,By Year,2020,,Texas,"Healthcare setting, inpatient",24582,86310,24772,15669,413,34072,
